epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1324.84,1.05023,1.21493,1.35873,0.52733,0.38118,0.38917,0.28307,1.16202,2.01941,1.41142,0.133714,0.000333096,0.000333096
2,2576.78,0.91914,1.02686,1.26543,0.63172,0.56062,0.58878,0.45612,0.90513,1.18182,1.20997,0.0673805,0.000666315,0.000666315
3,3822.96,0.89344,0.99886,1.24888,0.65953,0.56748,0.60545,0.46678,0.87461,1.01303,1.18311,0.00104663,0.000999077,0.000999077
4,5039.97,0.87793,0.98164,1.23709,0.66066,0.60536,0.62113,0.47919,0.85953,1.00005,1.17264,0.000998459,0.000998459,0.000998459
5,6290.29,0.87018,0.976,1.23066,0.68777,0.56278,0.62674,0.48945,0.83968,0.9848,1.16098,0.000997261,0.000997261,0.000997261
6,7497.78,0.86269,0.96016,1.22415,0.6664,0.60697,0.6326,0.49327,0.84756,0.98472,1.15883,0.000995723,0.000995723,0.000995723
7,8707.13,0.8545,0.95546,1.22155,0.63869,0.56418,0.59689,0.46444,0.85194,0.99681,1.16183,0.000993845,0.000993845,0.000993845
8,9915.16,0.85091,0.95076,1.21813,0.70401,0.61586,0.65385,0.51984,0.8197,0.97936,1.13792,0.000991628,0.000991628,0.000991628
9,11132.8,0.84652,0.94183,1.215,0.72464,0.61896,0.65276,0.52435,0.80158,0.946,1.12727,0.000989075,0.000989075,0.000989075
10,12338,0.84196,0.94046,1.20978,0.70634,0.62791,0.66139,0.5224,0.822,0.94814,1.14367,0.000986186,0.000986186,0.000986186
11,13552.3,0.84035,0.93522,1.20943,0.71229,0.61862,0.66177,0.53291,0.80422,0.93437,1.12851,0.000982965,0.000982965,0.000982965
12,14759.6,0.83657,0.92906,1.20647,0.75125,0.62012,0.6745,0.5446,0.80112,0.93774,1.13134,0.000979412,0.000979412,0.000979412
13,15966.1,0.83571,0.92568,1.20515,0.77346,0.59051,0.66692,0.53384,0.7951,0.9316,1.12403,0.000975531,0.000975531,0.000975531
14,17174,0.82853,0.92099,1.19944,0.76342,0.60012,0.67634,0.54707,0.78626,0.93269,1.11801,0.000971324,0.000971324,0.000971324
15,18381.8,0.82625,0.91857,1.19675,0.76166,0.60418,0.6712,0.54349,0.78366,0.92673,1.1124,0.000966794,0.000966794,0.000966794
16,19589,0.82587,0.91503,1.19452,0.74096,0.61717,0.67447,0.54636,0.7864,0.92159,1.11948,0.000961944,0.000961944,0.000961944
17,20796.9,0.82616,0.91159,1.19748,0.75134,0.62613,0.67602,0.54321,0.79549,0.93001,1.12526,0.000956777,0.000956777,0.000956777
18,22004.5,0.8199,0.908,1.19157,0.75398,0.62622,0.69036,0.56121,0.77351,0.90941,1.10608,0.000951298,0.000951298,0.000951298
19,23212.7,0.81975,0.90372,1.19194,0.75895,0.61528,0.67731,0.55315,0.77442,0.91329,1.11072,0.000945509,0.000945509,0.000945509
20,24420.1,0.81799,0.90216,1.18949,0.7283,0.66527,0.69882,0.56932,0.77173,0.90863,1.1071,0.000939415,0.000939415,0.000939415
21,25628.9,0.81549,0.90014,1.1905,0.76153,0.62507,0.69107,0.56468,0.77541,0.90828,1.1094,0.000933019,0.000933019,0.000933019
