epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1869.3,0.82392,0.96396,1.20988,0.6912,0.47802,0.55595,0.42809,0.9976,1.4797,1.27956,0.133699,0.000333173,0.000333173
2,3644.03,0.78005,0.90213,1.1827,0.72083,0.63607,0.68129,0.55461,0.76663,0.95684,1.09418,0.067365,0.00066617,0.00066617
3,5390.76,0.76176,0.87154,1.17033,0.73641,0.6472,0.69826,0.57387,0.75657,0.93266,1.09046,0.00102996,0.000997827,0.000997827
4,7128.33,0.75381,0.85848,1.16613,0.74289,0.65383,0.70448,0.58006,0.75156,0.93032,1.07022,0.000995475,0.000995475,0.000995475
5,8866.64,0.74981,0.85494,1.16333,0.74105,0.66091,0.70032,0.57552,0.74492,0.9147,1.06667,0.000991966,0.000991966,0.000991966
6,10603.5,0.74649,0.84775,1.16042,0.7509,0.64529,0.70918,0.58535,0.74259,0.92301,1.0689,0.000987465,0.000987465,0.000987465
7,12339.3,0.74337,0.84328,1.15823,0.71998,0.66815,0.70218,0.5785,0.74263,0.92246,1.07626,0.000981983,0.000981983,0.000981983
8,14072.2,0.74,0.84004,1.15578,0.75849,0.64179,0.70948,0.58883,0.74086,0.91296,1.07563,0.000975531,0.000975531,0.000975531
9,15806.1,0.74103,0.83634,1.15365,0.76529,0.65323,0.71705,0.59315,0.74142,0.90226,1.07409,0.000968121,0.000968121,0.000968121
10,17538.8,0.73978,0.82999,1.15525,0.80545,0.62075,0.71814,0.5961,0.73034,0.89822,1.06416,0.000959768,0.000959768,0.000959768
11,19271,0.73609,0.82598,1.15251,0.7953,0.63917,0.71525,0.59555,0.73672,0.89974,1.06814,0.000950489,0.000950489,0.000950489
12,21000,0.73493,0.82416,1.1504,0.77398,0.64233,0.7194,0.59805,0.72761,0.89105,1.06065,0.000940304,0.000940304,0.000940304
13,22726.6,0.73261,0.81843,1.1479,0.78002,0.64785,0.71766,0.59953,0.71621,0.87743,1.05691,0.000929231,0.000929231,0.000929231
14,24452.9,0.73199,0.81598,1.1502,0.78406,0.63277,0.7243,0.60345,0.71556,0.86867,1.05523,0.000917295,0.000917295,0.000917295
15,26180.2,0.72977,0.81141,1.14592,0.7475,0.66874,0.72076,0.60146,0.72033,0.8732,1.05319,0.000904518,0.000904518,0.000904518
16,27908.6,0.72551,0.80718,1.14312,0.77499,0.65231,0.7225,0.60549,0.71346,0.87577,1.04927,0.000890927,0.000890927,0.000890927
17,29637.4,0.72616,0.80362,1.14285,0.77941,0.64325,0.72477,0.60564,0.7157,0.87942,1.05184,0.000876548,0.000876548,0.000876548
18,31365.1,0.72354,0.80132,1.14104,0.77611,0.6646,0.72927,0.60763,0.71636,0.87355,1.05225,0.000861411,0.000861411,0.000861411
19,33092.5,0.7219,0.80132,1.14066,0.78877,0.64715,0.72778,0.60479,0.71347,0.86453,1.05027,0.000845547,0.000845547,0.000845547
20,34821.7,0.72131,0.79251,1.13797,0.77866,0.6561,0.73058,0.61036,0.71298,0.86526,1.04771,0.000828986,0.000828986,0.000828986
21,36549.2,0.71962,0.78866,1.13918,0.77763,0.65889,0.72862,0.61054,0.70986,0.86364,1.04527,0.000811764,0.000811764,0.000811764
22,38276.9,0.71735,0.78683,1.13669,0.76599,0.66565,0.72787,0.61114,0.7097,0.86315,1.04605,0.000793913,0.000793913,0.000793913
23,40005.6,0.71381,0.78086,1.13413,0.77484,0.66076,0.73116,0.61307,0.70929,0.86176,1.04408,0.000775471,0.000775471,0.000775471
24,41733.6,0.71373,0.77642,1.13336,0.76786,0.66617,0.73074,0.61354,0.70672,0.86142,1.04251,0.000756474,0.000756474,0.000756474
25,43460.6,0.71261,0.77543,1.13345,0.79736,0.64098,0.73,0.61202,0.70858,0.8669,1.04551,0.000736961,0.000736961,0.000736961
26,45188.5,0.70884,0.77324,1.13059,0.79633,0.64173,0.72786,0.60979,0.7083,0.86753,1.04572,0.00071697,0.00071697,0.00071697
27,46917.5,0.708,0.76822,1.12981,0.79165,0.64718,0.72411,0.60849,0.70514,0.86258,1.04185,0.000696543,0.000696543,0.000696543
