epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,48648.7,0.70668,0.76302,1.12771,0.79503,0.64587,0.72375,0.60843,0.70467,0.86181,1.04181,0.00067572,0.00067572,0.00067572
29,50377.5,0.70516,0.76202,1.12723,0.78305,0.65201,0.72468,0.60822,0.70463,0.86031,1.0422,0.000654543,0.000654543,0.000654543
30,52106.1,0.70527,0.75869,1.12837,0.7785,0.65869,0.72432,0.60831,0.70469,0.85964,1.04222,0.000633055,0.000633055,0.000633055
31,53834.3,0.70291,0.75409,1.12664,0.77551,0.6594,0.7237,0.60732,0.70479,0.85991,1.04242,0.000611299,0.000611299,0.000611299
32,55562.9,0.70005,0.75138,1.12402,0.78059,0.65357,0.72322,0.60707,0.70457,0.86126,1.04218,0.00058932,0.00058932,0.00058932
33,57291.3,0.6971,0.7477,1.12318,0.75699,0.67254,0.72177,0.60476,0.70492,0.86212,1.04321,0.00056716,0.00056716,0.00056716
34,59019.3,0.69551,0.74303,1.12126,0.76247,0.668,0.72104,0.60412,0.70471,0.86306,1.04323,0.000544865,0.000544865,0.000544865
35,60754.4,0.69508,0.7409,1.1209,0.76027,0.66784,0.72034,0.60409,0.70517,0.86446,1.04373,0.00052248,0.00052248,0.00052248
36,62492.6,0.69115,0.73523,1.11965,0.77666,0.65721,0.71996,0.60365,0.70546,0.86566,1.04417,0.00050005,0.00050005,0.00050005
37,64222.5,0.69346,0.73466,1.11925,0.78203,0.65425,0.72016,0.60368,0.70516,0.86618,1.04405,0.00047762,0.00047762,0.00047762
38,65952.9,0.68801,0.72851,1.11607,0.77805,0.6555,0.71984,0.60307,0.70516,0.86656,1.04412,0.000455235,0.000455235,0.000455235
39,67684.6,0.68756,0.72504,1.11563,0.77744,0.65404,0.71932,0.60261,0.70507,0.8674,1.04381,0.00043294,0.00043294,0.00043294
40,69415.6,0.68568,0.72328,1.11354,0.78058,0.64991,0.71884,0.60227,0.70545,0.86831,1.04418,0.00041078,0.00041078,0.00041078
41,71152.9,0.68494,0.72074,1.11354,0.7765,0.65093,0.71882,0.6027,0.7057,0.86828,1.04476,0.000388801,0.000388801,0.000388801
42,72883.6,0.68366,0.71586,1.11232,0.77794,0.65047,0.71883,0.60313,0.70591,0.8693,1.04524,0.000367045,0.000367045,0.000367045
43,74613.6,0.68074,0.71332,1.10792,0.77954,0.64836,0.71841,0.60213,0.70686,0.87004,1.04606,0.000345557,0.000345557,0.000345557
44,76345.2,0.67918,0.71067,1.1087,0.77438,0.65025,0.71795,0.60154,0.70714,0.871,1.04633,0.00032438,0.00032438,0.00032438
