epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1216.74,1.10975,1.27105,1.36527,0.33579,0.21807,0.20433,0.13516,1.39526,2.55716,1.55839,0.133717,0.000333079,0.000333079
2,2348.44,1.06954,1.18878,1.3508,0.64787,0.5426,0.54371,0.38829,1.13231,1.27082,1.35394,0.0673839,0.000666298,0.000666298
3,3463.41,1.02599,1.14046,1.32456,0.61515,0.53603,0.56306,0.39762,1.02861,1.29609,1.28575,0.00104999,0.00099906,0.00099906
4,4571.49,0.98739,1.09989,1.3017,0.55768,0.58488,0.57808,0.42123,0.94265,1.12981,1.22796,0.000998459,0.000998459,0.000998459
5,5680.41,0.96209,1.06972,1.2865,0.55861,0.55734,0.57944,0.43129,0.94018,1.10861,1.21889,0.000997261,0.000997261,0.000997261
6,6780.35,0.95032,1.05408,1.27918,0.63098,0.57886,0.61029,0.45284,0.91487,1.11541,1.20504,0.000995723,0.000995723,0.000995723
7,7870.95,0.9371,1.04069,1.27202,0.64444,0.59208,0.60228,0.44944,0.91183,1.18304,1.20158,0.000993845,0.000993845,0.000993845
8,8959.06,0.92399,1.02784,1.26633,0.66682,0.58796,0.62211,0.46883,0.87126,1.0537,1.17884,0.000991628,0.000991628,0.000991628
9,10049,0.91863,1.01803,1.26016,0.67571,0.56245,0.62201,0.46881,0.88693,1.03862,1.19039,0.000989075,0.000989075,0.000989075
10,11139.7,0.91236,1.01357,1.25562,0.68122,0.5661,0.6299,0.48063,0.84786,1.00314,1.15839,0.000986186,0.000986186,0.000986186
11,12241.9,0.90684,1.00331,1.25295,0.68253,0.56462,0.63657,0.4825,0.85828,1.01716,1.16873,0.000982965,0.000982965,0.000982965
12,13347.8,0.89665,0.99452,1.24978,0.67361,0.58748,0.64413,0.49533,0.85919,0.99431,1.1744,0.000979412,0.000979412,0.000979412
13,14454.9,0.89561,0.98842,1.24597,0.69937,0.60269,0.65969,0.50755,0.82216,0.98544,1.13753,0.000975531,0.000975531,0.000975531
14,15564.9,0.88776,0.9796,1.24043,0.66052,0.598,0.63531,0.49489,0.82176,0.98939,1.13479,0.000971324,0.000971324,0.000971324
15,16670.5,0.88664,0.98002,1.23851,0.65117,0.6427,0.66357,0.51286,0.82804,0.97956,1.1377,0.000966794,0.000966794,0.000966794
16,17775.7,0.88137,0.97186,1.23613,0.66675,0.62068,0.65353,0.50464,0.82644,0.97864,1.13682,0.000961944,0.000961944,0.000961944
17,18881.9,0.87997,0.96872,1.23343,0.66833,0.60947,0.66283,0.51547,0.81274,0.96404,1.13441,0.000956777,0.000956777,0.000956777
18,19988.5,0.8756,0.96506,1.23241,0.70024,0.59458,0.67135,0.52086,0.81255,0.95645,1.1362,0.000951298,0.000951298,0.000951298
19,21097.4,0.87304,0.96316,1.23357,0.66871,0.64011,0.683,0.52962,0.80384,0.94675,1.12549,0.000945509,0.000945509,0.000945509
20,22203.6,0.86722,0.95886,1.22688,0.70463,0.60472,0.66882,0.52359,0.79858,0.94691,1.12428,0.000939415,0.000939415,0.000939415
21,23310.7,0.86656,0.95529,1.2241,0.70695,0.6179,0.67084,0.52582,0.80442,0.94064,1.12984,0.000933019,0.000933019,0.000933019
22,24416.5,0.86383,0.94696,1.2236,0.68852,0.65031,0.69135,0.53645,0.79757,0.93575,1.11769,0.000926327,0.000926327,0.000926327
23,25523.4,0.86174,0.9452,1.22123,0.70806,0.63731,0.68983,0.53771,0.7931,0.93308,1.11665,0.000919343,0.000919343,0.000919343
24,26628.4,0.85542,0.93689,1.2177,0.70297,0.63348,0.68837,0.53876,0.79332,0.93011,1.12049,0.000912072,0.000912072,0.000912072
25,27734.1,0.85677,0.94161,1.22039,0.70275,0.63117,0.68786,0.53545,0.80126,0.92127,1.12409,0.000904518,0.000904518,0.000904518
26,28839.8,0.84959,0.93379,1.21211,0.70288,0.64019,0.69314,0.54201,0.79117,0.91434,1.11663,0.000896687,0.000896687,0.000896687
27,29945.2,0.84963,0.93258,1.21493,0.68409,0.65041,0.68563,0.54165,0.77816,0.9037,1.11187,0.000888584,0.000888584,0.000888584
28,31050,0.84839,0.92755,1.2114,0.7216,0.62535,0.69651,0.55074,0.77115,0.90558,1.10405,0.000880215,0.000880215,0.000880215
29,32155.5,0.84037,0.91963,1.2081,0.69766,0.65428,0.6938,0.54638,0.76955,0.90412,1.10184,0.000871585,0.000871585,0.000871585
30,33261.4,0.83807,0.9143,1.20719,0.70314,0.65926,0.69612,0.5472,0.77574,0.9033,1.10758,0.000862701,0.000862701,0.000862701
31,34367,0.83835,0.91719,1.2082,0.74055,0.6224,0.69264,0.54913,0.77684,0.90429,1.10951,0.000853568,0.000853568,0.000853568
32,35473.7,0.83448,0.90844,1.2029,0.71742,0.62233,0.68917,0.54664,0.77868,0.90807,1.111,0.000844193,0.000844193,0.000844193
33,36580.3,0.83299,0.90544,1.20373,0.70644,0.62427,0.69224,0.5445,0.7783,0.90182,1.10949,0.000834582,0.000834582,0.000834582
34,37686.8,0.83178,0.90531,1.20039,0.71321,0.63717,0.69415,0.54681,0.77542,0.89981,1.10627,0.000824742,0.000824742,0.000824742
35,38792.8,0.82854,0.90109,1.20041,0.72151,0.63199,0.6941,0.54714,0.77024,0.89541,1.10551,0.000814679,0.000814679,0.000814679
36,39899.1,0.82624,0.89873,1.19709,0.74235,0.60585,0.6911,0.54418,0.76719,0.89298,1.10136,0.0008044,0.0008044,0.0008044
37,41004,0.82768,0.89501,1.19997,0.71695,0.62438,0.69015,0.54518,0.76954,0.89315,1.10243,0.000793913,0.000793913,0.000793913
38,42110.1,0.82249,0.89314,1.19371,0.69124,0.64411,0.68984,0.54577,0.76692,0.89237,1.10299,0.000783225,0.000783225,0.000783225
39,43215.4,0.82164,0.88968,1.19145,0.6919,0.64104,0.68919,0.54586,0.76434,0.88892,1.10027,0.000772342,0.000772342,0.000772342
40,44320.8,0.82178,0.8871,1.19421,0.72731,0.62506,0.69098,0.54626,0.76203,0.88761,1.09811,0.000761273,0.000761273,0.000761273
41,45426.4,0.82006,0.88293,1.19241,0.71346,0.63191,0.69049,0.54627,0.76171,0.8854,1.09892,0.000750025,0.000750025,0.000750025
42,46531.8,0.81543,0.87967,1.189,0.71169,0.63416,0.69075,0.54537,0.7621,0.88453,1.09919,0.000738606,0.000738606,0.000738606
43,47638.4,0.81348,0.87494,1.18804,0.70258,0.63927,0.68828,0.54412,0.76151,0.88357,1.09879,0.000727023,0.000727023,0.000727023
44,48743.6,0.81226,0.87422,1.18722,0.68441,0.66662,0.69023,0.54543,0.76047,0.88349,1.09858,0.000715284,0.000715284,0.000715284
